Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Bridgewater,00017700,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00880 MAIN ST SOUTH-BOAT RAMP,CONNECTICUT STATE OF,1.35,14/575,"$176,200","$105,000","$281,200","$281,200",POINT (-73.349575025 41.480717995)
Canaan,12105139,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RT 7 N,CONNECTICUT STATE OF,3.77,40/129,"$78,100",$0,"$78,100","$78,100",POINT (-73.33104 42.02767)
East Hartford,00006596,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00200 HILLS ST,STATE OF CONNECTICUT,0.61,335/272,"$5,030",$0,"$5,030","$5,030",POINT (-72.596179984 41.74136539)
Bethany,00042300,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00631 AMITY RD,CONNECTICUT STATE OF,3.67,25/278,"$154,450","$1,052,450","$1,206,900","$1,206,900",POINT (-72.993976973 41.433470003)
Colchester,C0515900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WESTCHESTER RD,CONNECTICUT STATE OF,0.66,124/945,"$38,800",$0,"$38,800","$38,800",POINT (-72.406004975 41.560038467)
Enfield,000600020225,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00170 ELM ST,CONNECTICUT STATE OF,36.7,2371/313,"$7,559,000","$26,742,600","$34,301,600","$34,301,600",POINT (-72.569670031 41.997354995)
Columbia,00067600,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 RT 6,CONN STATE OF - DOT,0.6,124/19,"$35,280",$0,"$35,280","$35,280",POINT (-72.30820907 41.725095485)
Fairfield,17202,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00019 MILL HILL ROAD,STATE OF CONNECTICUT,0.04,667/488,"$4,200",$0,"$4,200","$4,200",POINT (-73.280056242 41.14067333)
Haddam,R0532800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RIVER FRONT,CONN STATE OF MUNICIPAL DIV,23,0/0,"$7,000",$0,"$7,000","$7,000",POINT (-72.47738693 41.464653554)
Hamden,2626069000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00416 HOWARD DR,CONNECTICUT STATE OF,0.46,535/118,"$37,590",$0,"$37,590","$37,590",POINT (-72.933415715 41.380659642)
Berlin,1461452,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WILDERMERE RD,STATE OF CONNECTICUT DEPARTMENT OF TRANS,0.04,767/72,"$2,200",$0,"$2,200","$2,200",POINT (-72.760455564 41.610881403)
Bolton,10001579,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",04960 BOSTON TPKE,CONNECTICUT STATE OF,3.12,87/145,"$17,500",$0,"$17,500","$17,500",POINT (-72.46325408 41.784075748)
Hamden,2824004000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01440 DUNBAR HILL RD,CONNECTICUT STATE OF,0.86,579/2,"$51,100",$0,"$51,100","$51,100",POINT (-72.943062432 41.393400016)
Granby,10400004S,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00004S NORTH GRANBY RD,CONNECTICUT STATE OF,0.03,446/606,$70,$0,$70,$70,POINT (-72.790520783 41.954690641)
Easton,00297834,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,144.41,383/17,"$189,000","$46,620","$235,620","$235,620",POINT (-73.320495412 41.246493324)
Cornwall,98106032,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TOWN ST,CONNECTICUT STATE OF,335,0/0,"$91,500",$0,"$91,500","$91,500",POINT (-73.312366999 41.888159949)
Avon,1780003,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",3 CHIDSEY RD,CONNECTICUT STATE OF,20.6,38/383,"$1,153,600","$406,250","$1,559,850","$1,559,850",POINT (-72.821393 41.798425988)
Hamden,2723003000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01130 MAIN ST,CONNECTICUT STATE OF,22.91,701/918,"$190,890",$0,"$190,890","$190,890",POINT (-72.949864023 41.386459009)
Kent,00165800,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SOUTH KENT RD,CONNECTICUT STATE OF,0.56,0/0,"$4,700",$0,"$4,700","$4,700",POINT (-73.474812824 41.659427158)
Clinton,D0149000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00002 20' RIGHT OF WAY,CONNECTICUT STATE OF,0.45,297/1135,"$85,300",$0,"$85,300","$85,300",POINT (-72.513251417 41.286166612)
Enfield,090100010030,OABX,"Administrative (office buildings, court houses, any others)",00111 PHOENIX AVE,CONN STATE OF,4.78,484/174,"$602,500","$4,584,700","$5,187,200","$5,187,200",POINT (-72.582886029 41.971617985)
Fairfield,17178,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00102 DUKA AVENUE,STATE OF CONNECTICUT,0.03,551/203,"$13,440",$0,"$13,440","$13,440",POINT (-73.233663197 41.165339854)
Haddam,T0672400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TINKER RD,CONN STATE OF MUNICIPAL DIV,396.6,0/0,"$175,470",$0,"$175,470","$175,470",POINT (-72.50472 41.47439)
Branford,11144,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NO BRANFORD RD,CONNECTICUT STATE OF,53.37,402/283,"$1,515,400",$0,"$1,515,400","$1,515,400",POINT (-72.777970019 41.301269624)
East Hampton,R20046,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 GADPOUCH RD,CONNECTICUT STATE OF,74.17,0/0,"$6,750",$0,"$6,750","$6,750",POINT (-72.559294995 41.574500008)
Hartford,295572009,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00190 HUYSHOPE AVE,STATE OF CONN PUBLIC WORKS,1.46,1725/106,"$228,410","$49,140","$277,550","$277,550",POINT (-72.661961994 41.754770983)
Bristol,0256560,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 GINA ST,STATE OF CONNECTICUT,0.13,1010/321,"$30,740",$0,"$30,740","$30,740",POINT (-72.900283457 41.66941236)
Deep River,00042700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00059 TOWER HILL RD,STATE OF CONNECTICUT,83.81,161/79,"$356,440",$0,"$356,440","$356,440",POINT (-72.514937453 41.355971092)
Deep River,00049300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CEDAR SWAMP RD,STATE OF CONNECTICUT,179,0/0,"$48,860",$0,"$48,860","$48,860",POINT (-72.487927913 41.371116993)
Kent,00002200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00262 SCHAGHTICOKE RD,CONNECTICUT STATE OF,400,0/0,"$1,346,200","$194,100","$1,540,300","$1,540,300",POINT (-73.508991028 41.692578016)
Andover,158,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BAILEY RD,CONNECTICUT STATE OF,40,29/1,"$39,200",$0,"$39,200","$39,200",POINT (-72.406948925 41.761425435)
Colchester,C0518400,OFBX,"Public Safety (National Guard, fire towers and radio stations, state police training academy, state motor vehicle buildings, state police barracks, state police",00015 OLD HARTFORD RD,CONNECTICUT STATE OF,2.8,59/87,"$288,100","$1,069,900","$1,358,000","$1,358,000",POINT (-72.339363998 41.578659989)
Kent,00117400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MACEDONIA BROOK RD,CONNECTICUT STATE OF,80,33/210,"$397,800",$0,"$397,800","$397,800",POINT (-73.493872852 41.762827743)
Branford,11152,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 EAST MAIN ST REAR,CONNECTICUT STATE OF BD OF,26.18,184/454,"$110,000",$0,"$110,000","$110,000",POINT (-72.777737943 41.297376049)
Guilford,8811,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00593 BOSTON POST RD,STATE OF CONN,5.22,127/170,"$608,440","$438,830","$1,047,270","$1,047,270",POINT (-72.667508969 41.289374987)
Hartland,98100918,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HOGBACK RD,STATE OF CONNECTICUT,0.54,0/0,$760,$0,$760,$760,POINT (-73.017678183 41.987857788)
Branford,11141,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WEST MAIN ST,CONNECTICUT STATE OF HIGHWAY,0.46,0/0,"$21,400",$0,"$21,400","$21,400",POINT (-72.843417838 41.279135008)
East Hampton,R20024,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 COLCHESTER AVE,CONNECTICUT STATE OF,12.2,0/0,"$128,560",$0,"$128,560","$128,560",POINT (-72.468536521 41.5651742)
Easton,00037500,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 VALLEY ROAD,STATE OF CONNECTICUT,12,383/17,"$3,290",$0,"$3,290","$3,290",POINT (-73.326475184 41.277730641)
Bloomfield,R90229,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00061 KENWOOD CIR,CONNECTICUT STATE OF,5.9,314/96,"$21,800",$0,"$21,800","$21,800",POINT (-72.725808784 41.810658524)
Bloomfield,R90187,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00001 TAFT AVE,CONNECTICUT STATE OF,0.19,497/237,"$18,340",$0,"$18,340","$18,340",POINT (-72.704734831 41.817351217)
Canterbury,00206100,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 PACKER RD,CONNECTICUT STATE OF,0.06,65/884,$800,$0,$800,$800,POINT (-71.958254542 41.660109852)
Hartford,270360033,OABX,"Administrative (office buildings, court houses, any others)",00071-73 COLUMBUS BLVD,CAPITAL REGION DEVELOPMENT AUTHORITY,0.04,6578/307,"$91,980",$0,"$91,980","$91,980",POINT (-72.670492005 41.762042996)
Hartland,98100906,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HOGBACK RD (REAR),STATE OF CONNECTICUT,108,51/437,"$151,200",$0,"$151,200","$151,200",POINT (-73.017678183 41.987857788)
Canaan,14105076,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SAND RD,CONNECTICUT STATE OF,23.1,46/657,"$72,800",$0,"$72,800","$72,800",POINT (-73.343016595 42.011173597)
Andover,1181,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SKINNER HILL RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,3.74,0/0,"$48,230",$0,"$48,230","$48,230",POINT (-72.360283469 41.764594007)
Farmington,06359532,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",09532 FARMINGTON AV,CONNECTICUT STATE OF,0.05,1112/602,"$3,500",$0,"$3,500","$3,500",POINT (-72.842477827 41.737468293)
East Hampton,R20011,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WOPOWOG RD,CONNECTICUT STATE OF,27,199/257,"$206,260",$0,"$206,260","$206,260",POINT (-72.479682243 41.538532149)
Easton,00297930,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 CENTER ROAD,STATE OF CONNECTICUT,1.49,382/279,"$166,320",$0,"$166,320","$166,320",POINT (-73.298979653 41.251923421)
Hamden,3329070000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RIVER RD,CONNECTICUT STATE OF,3.09,1115/31,"$21,630",$0,"$21,630","$21,630",POINT (-72.902029995 41.438457139)
Groton,169818323233 EB12,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",285 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$53,900","$53,900","$53,900",POINT (-72.041364038 41.336651981)
Hamden,2221035010000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01065 WINTERGREEN AVE,CONNECTICUT STATE OF,500,686/485,"$4,200,000",$0,"$4,200,000","$4,200,000",POINT (-72.9685473 41.349005819)
Enfield,026700020061,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SWORD AVE,CONNECTICUT STATE OF,0.34,0/0,"$5,300",$0,"$5,300","$5,300",POINT (-72.590359107 42.023871625)
Groton,169815744740 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",DEPOT RD,CONNECTICUT STATE OF,49.44,579/389,"$521,570",$0,"$521,570","$521,570",POINT (-72.033773196 41.343494274)
Barkhamsted,CONN 431,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00431 EAST RIVER RD,CONNECTICUT STATE OF,0.71,31/520,"$49,630",$0,"$49,630","$49,630",POINT (-73.016159656 41.958374996)
East Haven,C9006000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00332 FOXON RD,STATE OF CONNECTICUT,0.04,0/0,$560,$0,$560,$560,POINT (-72.83701027 41.32430263)
Bristol,0038008,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00008 PARK ST,STATE OF CONNECTICUT DEPT OF TRANSPORTA,0.16,2178/714,"$22,060",$0,"$22,060","$22,060",POINT (-72.950342965 41.671922995)
Durham,S0230300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WALLINGFORD RD,CONNECTICUT STATE OF,2.52,213/1097,"$2,240",$0,"$2,240","$2,240",POINT (-72.70901002 41.472869533)
Danbury,G25005,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00068 SUGAR HOLLOW RD,STATE OF CONNECTICUT,1,1281/200,"$260,050",$0,"$260,050","$260,050",POINT (-73.471794992 41.333983015)
Deep River,00161000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SOUTHWORTH ST,STATE OF CONNECTICUT,1.5,0/0,"$53,060",$0,"$53,060","$53,060",POINT (-72.432742225 41.379452231)
East Hampton,R20035,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WOPOWOG RD,CONNECTICUT STATE OF,101.03,97/412,"$2,853,560","$30,460","$2,884,020","$2,884,020",POINT (-72.479682243 41.538532149)
Hartford,225438122,OABX,"Administrative (office buildings, court houses, any others)",00032 RUSS ST,STATE OF CONN,0.22,1457/90,"$72,940","$8,190","$81,130","$81,130",POINT (-72.683771035 41.761586015)
East Hampton,R20028,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 COLCHESTER AVE,CONNECTICUT STATE OF,1.01,58/483,"$56,360",$0,"$56,360","$56,360",POINT (-72.468536521 41.5651742)
Glastonbury,76800006E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WINDHAM RD,CONNECTICUT STATE OF,8.9,1/1,"$2,400",$0,"$2,400","$2,400",POINT (-72.483976199 41.670981292)
Chester,00032913,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 W MAIN ST,CONNECTICUT STATE OF,0.08,39/623,$30,$0,$30,$30,POINT (-72.468030856 41.398423596)
Avon,3970250,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",250 SIMSBURY RD,CONNECTICUT STATE OF,18.9,88/689,"$99,230",$0,"$99,230","$99,230",POINT (-72.828946177 41.821344389)
East Hartford,00009494,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00076 MEADOW ST REAR,STATE OF CONNECTICUT,0.1,1153/74,"$2,830",$0,"$2,830","$2,830",POINT (-72.655642961 41.760999994)
Hamden,3330035000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00085 RIVER RD,CONNECTICUT STATE OF,45.21,561/325,"$268,870",$0,"$268,870","$268,870",POINT (-72.897933402 41.436764922)
Enfield,085200010025,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00011 KATIE LA,CONNECTICUT STATE OF,3.56,1282/204,"$18,700",$0,"$18,700","$18,700",POINT (-72.50219129 41.984299015)
Canton,1160065,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00065 BAHRE CORNER ROAD,CONNECTICUT STATE OF,31.9,60/421,"$129,030","$21,770","$150,800","$150,800",POINT (-72.885562001 41.839726014)
Cornwall,98106008,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CREAM HILL RD,CONNECTICUT STATE OF,367,28/168,"$100,200",$0,"$100,200","$100,200",POINT (-73.323095692 41.894773265)
Farmington,06350768BLD,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00768 FARMINGTON AV,CONNECTICUT STATE OF DOT,0.01,963/850,"$30,800",$0,"$30,800","$30,800",POINT (-72.823319598 41.725858726)
Avon,2140004,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",4 EAST MAIN ST,CONNECTICUT STATE OF,5.16,225/116,"$72,240",$0,"$72,240","$72,240",POINT (-72.830179309 41.809545734)
Danbury,G18001,BFBX,,00035 SUGAR HOLLOW RD,CITY OF DANBURY - AIRPORT,135.19,209/157,"$46,007,500","$2,527,000","$48,534,500","$48,534,500",POINT (-73.475326042 41.372219425)
Burlington,00066900,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STONE RD,CONNECTICUT STATE OF,307,0/0,"$51,580",$0,"$51,580","$51,580",POINT (-72.937356613 41.745424294)
Canaan,14105060,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MUSIC MOUNTAIN RD,CONNECTICUT STATE OF,191.46,26/556,"$688,300",$0,"$688,300","$688,300",POINT (-73.225757787 41.987363569)
Danbury,I10034,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00019-29 HAYESTOWN AV,STATE OF CONNECTICUT,13.7,468/602,"$4,080,790","$30,797,620","$34,878,410","$34,878,410",POINT (-73.45482499 41.413786989)
Enfield,063000010030,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00035 COOPER ST,CONNECTICUT STATE OF,58.13,765/221,"$200,400","$2,200","$202,600","$202,600",POINT (-72.534179275 41.982635375)
Groton,169818323233 EB4,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",285 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$53,900","$53,900","$53,900",POINT (-72.041364038 41.336651981)
Chester,00032915,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CEDAR LAKE RD REAR,CONNECTICUT STATE OF,80,30/42,"$285,600",$0,"$285,600","$285,600",POINT (-72.507842924 41.406211947)
East Haven,N9002100,BFBX,,00347 DODGE AVE,CITY OF NEW HAVEN,4.7,0/0,"$625,800",$0,"$625,800","$625,800",POINT (-72.886097831 41.27407339)
Bristol,0059188,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 KENNEY ST,STATE OF CONNECTICUT DEPARTMENT OF,0.04,1439/1287,"$2,660",$0,"$2,660","$2,660",POINT (-72.901003033 41.670854769)
Guilford,8910,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SAW PIT RD,STATE OF CONN,1,275/271,$840,$0,$840,$840,POINT (-72.665449704 41.278176998)
Derby,363,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",130 MAIN ST,STATE OF CONNECTICUT,0.05,717 170,"$38,500",$0,"$38,500","$38,500",POINT (-73.086550987 41.31948798)
Burlington,00065200,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00345 MILFORD ST,CONNECTICUT STATE OF,452.94,0/0,"$1,592,710","$1,485,750","$3,078,460","$3,078,460",POINT (-72.961139024 41.727374984)
Cheshire,01014300,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CHAMBERLAIN CT,STATE OF CONNECTICUT,9.08,1894/4,"$76,270",$0,"$76,270","$76,270",POINT (-72.929581191 41.473345074)
Ellington,00242800,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 MAPLE ST,CONNECTICUT STATE OF,0.15,117/277,$630,$0,$630,$630,POINT (-72.465830325 41.906022671)
Chester,00011700,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 TURKEY HILL RD,CONNECTICUT STATE OF,12.8,91/126,"$4,480",$0,"$4,480","$4,480",POINT (-72.494535044 41.415883733)
Goshen,00216500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ELI BUNKER ROAD,CONNECTICUT STATE OF - DEP,5.12,102/154,"$68,420",$0,"$68,420","$68,420",POINT (-73.278175007 41.803826475)
Greenwich 1,08-4622/S,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RIVER ROAD,CONNECTICUT STATE OF,1.28,1096/151,"$3,685,850",$0,"$3,685,850","$3,685,850",POINT (-73.666820002 41.037787358)
East Haven,Z9341100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00047 MAIN ST,STATE OF CONNECTICUT,1.53,0/0,"$46,200",$0,"$46,200","$46,200",POINT (-72.864771026 41.277884991)
Coventry,30057,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",BABCOCK HILL RD,CONNECTICUT STATE OF,12.6,0141 0577,"$23,800",$0,"$23,800","$23,800",POINT (-72.271100778 41.729936655)
Hartford,181409003,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00625 CAPITOL AVE,STATE OF CONN,0.63,0/0,"$84,560",$0,"$84,560","$84,560",POINT (-72.697622726 41.762288813)
Deep River,00181300,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ESSEX ST,STATE OF CONNECTICUT,8,81/485,"$56,000",$0,"$56,000","$56,000",POINT (-72.426271408 41.383080112)
Hamden,2722004000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00480 MOUNTAIN RD,CONNECTICUT STATE OF,19.84,620/677,"$423,570",$0,"$423,570","$423,570",POINT (-72.95704903 41.386137673)
Harwinton,567,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WHETSTONE RD,CONNECTICUT STATE OF,8.5,93/293,"$1,430",$0,"$1,430","$1,430",POINT (-73.072607256 41.759770517)
Avon,3180415,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",415 MONTEVIDEO RD,CONNECTICUT STATE OF (DEP),10,55/90,"$350,000",$0,"$350,000","$350,000",POINT (-72.798079575 41.814345479)
Ellington,00338400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PORTER RD,CONNECTICUT STATE OF,18.34,387/327,"$38,450",$0,"$38,450","$38,450",POINT (-72.434262597 41.935768719)
Griswold,C0463500,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01341 HOPEVILLE RD,CONNECTICUT STATE OF,160.3,23/395,"$140,280",$0,"$140,280","$140,280",POINT (-71.902482162 41.591624802)
Andover,1121,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 WHEELING RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,191,21/161,"$231,700",$0,"$231,700","$231,700",POINT (-72.36389416 41.755674747)
Andover,1273,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BUNKER HILL RD,CONNECTICUT STATE OF-NATHAN HALE FOREST,0.5,23/24,$490,$0,$490,$490,POINT (-72.347366405 41.740136326)
Kent,00117600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MACEDONIA BROOK RD,CONNECTICUT STATE OF,2,0/0,"$20,200",$0,"$20,200","$20,200",POINT (-73.493872852 41.762827743)
Clinton,C0645600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 CAUSEWAY,CONNECTICUT STATE OF,1.5,93/3,"$8,100",$0,"$8,100","$8,100",POINT (-72.49585923 41.270126736)
Bethany,00042100,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00859 AMITY RD,CONNECTICUT STATE OF,0.7,0/0,"$58,800",$0,"$58,800","$58,800",POINT (-72.988171663 41.449000936)
