Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
200491,2020,02/16/2021,Bristol,272 DIVINITY ST,"$163,310.00","$300,000.00",0.5443,Residential,Three Family,,,,
2100427,2021,05/18/2022,Naugatuck,86 WOODLAND STREET,"$89,160.00","$185,000.00",0.4819,Residential,Single Family,,,,POINT (-73.046226992 41.484996998)
218298,2021,07/01/2022,Middletown,175 TROLLEY CROSSING LA,"$88,300.00","$172,500.00",0.5118,Residential,Condo,,,,POINT (-72.698599256 41.599802761)
2100194,2021,06/06/2022,New Fairfield,9 HILLCREST DR,"$364,000.00","$850,000.00",0.4282,Residential,Single Family,,,,POINT (-73.463461033 41.47210802)
20118,2020,11/13/2020,East Hartford,64 CONNECTICUT BLVD,"$281,600.00","$295,000.00",0.9545,Commercial,,,,,
200629,2020,07/22/2021,Groton,8 MERYL CT,"$79,240.00","$140,000.00",0.566,Residential,Condo,,,,
210045,2021,11/12/2021,Ellington,9 JOEL DR,"$176,830.00","$262,000.00",0.6749,Residential,Two Family,,,,POINT (-72.466331978 41.92116601)
200022,2020,01/15/2021,Lyme,16 HONEY HILL LANE,"$545,700.00","$850,000.00",0.642,Residential,Single Family,,,,
200421,2020,12/24/2020,Greenwich,130 NORTH WATER STREET,"$288,190.00","$705,000.00",0.4087,Residential,Single Family,,,,
201076,2020,07/21/2021,Bristol,351 MATTHEWS ST,"$318,780.00","$540,000.00",0.5903,Residential,Single Family,,,,POINT (-72.96658 41.68589)
210394,2021,08/02/2022,Killingly,15 CONRADS PARK,"$4,410.00","$6,300.00",0.7,Residential,Single Family,25 - Other,,ALSO SEE SAME DAY SALE #210395,POINT (-71.876217601 41.835108527)
210040,2021,12/28/2021,Easton,56 BANKS ROAD,"$272,580.00","$375,000.00",0.7268,Residential,Single Family,,,,POINT (-73.284906965 41.246001991)
200336,2020,05/18/2021,East Lyme,77 LOVERS LN,"$86,100.00","$124,000.00",0.6943,Vacant Land,,,,,
20044,2020,10/22/2020,Darien,37 OLD PARISH ROAD,"$1,053,360.00","$1,525,000.00",0.6907,Residential,Single Family,,,,POINT (-73.48392 41.07489)
210249,2021,07/05/2022,East Hampton,32 HAMPTON COURT,"$133,190.00","$227,500.00",0.5854,Residential,Condo,,,,POINT (-72.0548 41.78399)
21361,2021,06/01/2022,Farmington,21 ASH CT,"$150,290.00","$300,000.00",0.5009,Residential,Condo,,,,POINT (-72.877969003 41.730573979)
210891,2021,06/03/2022,New Britain,1546 CORBIN AVE,"$129,290.00","$330,000.00",0.3917,Residential,Single Family,,,,POINT (-72.804409001 41.675393983)
201539,2020,09/20/2021,Danbury,6 FAIRFIELD AV,"$237,900.00","$410,000.00",0.5802,Residential,Two Family,,J16119,,
211243,2021,09/29/2022,New Britain,165 CHILDS ST,"$80,990.00","$200,000.00",0.4049,Residential,Single Family,,,,POINT (-72.756479016 41.67651502)
21121,2021,12/13/2021,Farmington,70 BERKSHIRE DR,"$181,230.00","$256,000.00",0.707929688,Residential,Single Family,25 - Other,ESTATE SALE CASH NO MORTGAGE,,POINT (-72.781769984 41.716645016)
200089,2020,11/06/2020,Glastonbury,105 TAMARAC DR,"$378,100.00","$560,000.00",0.6751,Residential,Single Family,,,,
2020212,2020,02/22/2021,Wilton,126 SCRIBNER HILL RD,"$336,630.00","$599,000.00",0.5619,Residential,Single Family,,,,
200328,2020,05/11/2021,Guilford,90 DAVIS DR,"$181,970.00","$234,500.00",0.7759,Residential,Single Family,,,,POINT (-72.65412 41.28257)
211894,2021,07/13/2022,Bridgeport,174 JONES AVE #176,"$140,160.00","$293,028.00",0.478316065,Residential,Two Family,25 - Other,,TWO SALES SAME DAY - ALSO SEE #211893,POINT (-73.199428987 41.18391099)
200048,2020,10/28/2020,Killingly,150 BREAKNECK HILL RD,"$122,920.00","$140,000.00",0.878,Residential,Single Family,,,,POINT (-71.857 41.8504)
200137,2020,05/06/2021,East Windsor,15B REGGIE WAY,"$149,630.00","$249,900.00",0.5987,Residential,Condo,,,,POINT (-72.55962 41.90755)
200000259,2020,05/17/2021,Brookfield,23 RIVERVIEW CT,"$191,900.00","$315,000.00",0.6092,Residential,Condo,,,,
200041,2020,10/15/2020,Branford,184 AUSTIN RYER LA,"$94,500.00","$150,000.00",0.63,Residential,Condo,,,,
210630,2021,09/02/2022,Branford,1 MARIAN RD,"$149,000.00","$345,000.00",0.4318,Residential,Single Family,,,,POINT (-72.83418697 41.272368986)
210006,2021,11/01/2021,Bolton,24 BAYBERRY RD,"$105,900.00","$250,000.00",0.4236,Residential,Single Family,,,,POINT (-72.427577997 41.768665999)
210737,2021,06/02/2022,Fairfield,60 BRETT ROAD,"$744,730.00","$1,550,000.00",0.480470968,Residential,Single Family,07 - Change in Property,MAP CHANGES,,POINT (-73.305315978 41.197397011)
210299,2021,09/19/2022,Mansfield,147 COVENTRY RD,"$286,100.00","$592,500.00",0.4828,Residential,Single Family,,,,POINT (-72.254748015 41.761160005)
21083,2021,11/15/2021,Farmington,9 GRANDVIEW DR UNIT 43B,"$53,460.00","$104,900.00",0.5096,Residential,Condo,,,,POINT (-72.850091263 41.740976913)
211020,2021,07/19/2022,Hamden,23 ROBERTSON DR,"$143,710.00","$379,900.00",0.3782,Residential,Single Family,,,,POINT (-72.910851041 41.404410992)
200176,2020,11/12/2020,Bristol,250 WOLCOTT RD,"$218,470.00","$317,000.00",0.6891,Residential,Single Family,,,,POINT (-72.96723 41.65442)
211139,2021,06/20/2022,Danbury,39 GREGORY ST,"$200,500.00","$325,000.00",0.6169,Residential,Single Family,,F13080,,POINT (-73.482315034 41.401023991)
20423,2020,07/21/2021,Bethel,10 CASTLE HILL ROAD,"$219,870.00","$325,000.00",0.6765,Residential,Single Family,,,,
200359,2020,05/28/2021,Guilford,20 HUNGRY HILL CIR,"$183,410.00","$225,500.00",0.813348115,Residential,Single Family,14 - Foreclosure,sale of forclosed property,,
210030,2021,11/01/2021,Ellington,1 MAPLE ST 8,"$81,330.00","$140,000.00",0.5809,Residential,Condo,,,,POINT (-72.457556963 41.909676013)
20191,2020,02/22/2021,Darien,31 PATRICIA LANE,"$646,450.00","$1,180,000.00",0.5478,Residential,Single Family,,,,POINT (-73.49067 41.0614)
10055,2001,12/04/2001,Stafford,15 JENNIFER LN,$0.00,"$165,155.00",0,,,7,,,
210621,2021,04/11/2022,Hamden,351 KNOB HILL DR,"$209,090.00","$200,000.00",1.0454,Residential,Single Family,,,,POINT (-72.911186988 41.396513018)
200194,2020,02/05/2021,East Lyme,5 ROCCO DR,"$170,660.00","$220,000.00",0.7757,Vacant Land,,,,,POINT (-72.22025 41.3942)
200215,2020,07/29/2021,Canton,91 ANDREW DRIVE,"$321,350.00","$570,000.00",0.5637,Residential,Single Family,,,,POINT (-72.88566 41.88205)
200235,2020,01/08/2021,Groton,27 RIVERVIEW AVE (CITY),"$104,510.00","$145,000.00",0.720758621,Residential,Single Family,,,,POINT (-72.07662 41.36551)
210708,2021,03/07/2022,Danbury,9A FRANKLIN ST,"$147,500.00","$380,000.00",0.388157895,Residential,Two Family,,H13301,,POINT (-73.458947965 41.399426987)
21162,2021,01/19/2022,Guilford,43 MOUNTAIN TR,"$118,190.00","$150,500.00",0.7853,Residential,Single Family,,,,POINT (-72.727721041 41.337168012)
210969,2021,07/01/2022,New Britain,70 KENWOOD DR,"$143,990.00","$320,000.00",0.4499,Residential,Single Family,,,,POINT (-72.805922019 41.651434019)
200421,2020,07/01/2021,Guilford,59 BALDWIN DR,"$182,300.00","$350,000.00",0.5208,Residential,Single Family,,,,
210352,2021,08/03/2022,Ledyard,770 COLONEL LEDYARD HWY,"$124,530.00","$215,000.00",0.5792,Residential,Single Family,,,,POINT (-72.017771998 41.446251986)
210024,2021,03/22/2022,Morris,THOMASTON RD,"$509,450.00","$985,000.00",0.5172,Vacant Land,,25 - Other,"72, 82 122 & 122A THOMASTON RD 122 THOMASTON HAS A HOUSE ON IT",,POINT (-73.163187972 41.676413256)
200060,2020,04/06/2021,East Granby,8 MILLER ROAD,"$116,900.00","$215,000.00",0.5437,Residential,Single Family,,,,
200053,2020,01/11/2021,Bethany,17 PERKINS RD,"$205,940.00","$325,000.00",0.6336,Residential,Single Family,,,,
210394,2021,02/09/2022,Fairfield,42 VICTORIA COURT,"$762,510.00","$1,525,000.00",0.5,Residential,Single Family,07 - Change in Property,,,POINT (-73.317160026 41.175488979)
200506,2020,02/22/2021,Bristol,188 BROOK ST,"$106,680.00","$165,000.00",0.6465,Residential,Single Family,,,,POINT (-72.90799 41.68328)
2100408,2021,05/10/2022,Naugatuck,128 BEACON MANOR ROAD,"$88,300.00","$245,000.00",0.360408163,Residential,Single Family,,MOBILE HOME,,POINT (-73.023719989 41.464557015)
20398,2020,02/04/2021,Hartford,135 FRANKLIN AVE & 34 STANDISH,"$229,950.00","$550,000.00",0.418090909,Commercial,,24 - Plottage,,,
21299,2021,07/18/2022,Monroe,66 HEATHER RD,"$358,900.00","$850,000.00",0.4222,Residential,Single Family,,,,POINT (-73.231470991 41.31859799)
20267,2020,04/19/2021,Darien,8 SOUTH TRAIL,"$2,299,640.00","$3,622,500.00",0.6348,Residential,Single Family,,,,POINT (-73.45966 41.0703)
210328,2021,08/05/2022,Berlin,270 NEW BRITAIN RD #18,"$189,900.00","$393,740.00",0.4822,Residential,Condo,07 - Change in Property,,,POINT (-72.77145798 41.64082999)
2100664,2021,09/15/2022,Naugatuck,215 EAST WATERBURY RD,"$123,660.00","$275,000.00",0.4496,Residential,Single Family,,,,POINT (-73.028178994 41.509522992)
200499,2020,07/01/2021,Farmington,41 RESERVOIR RD,"$265,720.00","$450,000.00",0.5904,Residential,Single Family,,,,
200509,2020,01/19/2021,Greenwich,89 VIEW STREET,"$283,430.00","$300,000.00",0.9447,Residential,Two Family,10 - A Will,MULTI CONVEYANCE SALE FROM AN ESTATE,,POINT (-73.6379 41.01853)
2000210,2020,05/04/2021,Bloomfield,70 PROSPECT STREET,"$139,790.00","$250,000.00",0.5591,Residential,Single Family,,,,
200144,2020,12/24/2020,East Lyme,26 LATIMER DR,"$151,900.00","$309,900.00",0.4901,Residential,Single Family,,,,
20273,2020,01/11/2021,Ridgefield,12 CARPENTER CLOSE,"$89,810.00","$128,300.00",0.7,Residential,Condo,,,,
210299,2021,06/27/2022,Avon,42 STRATFORD CROSSING,"$462,290.00","$850,000.00",0.5438,Residential,Single Family,,,,POINT (-72.874867028 41.776332004)
200054,2020,10/27/2020,East Lyme,38 HOPE ST #4,"$149,450.00","$249,900.00",0.598,Residential,Condo,,,,POINT (-72.19557 41.32434)
210050,2021,12/30/2021,Brooklyn,5 FAIRWAY DR,"$160,200.00","$325,000.00",0.4929,Residential,Single Family,,,,POINT (-71.905279985 41.801777995)
2000246,2020,03/29/2021,Cheshire,227 WIESE RD,"$272,250.00","$480,000.00",0.5671,Residential,Single Family,,,,POINT (-72.88664 41.50615)
200007,2020,10/07/2020,Cromwell,136 WOODLAND,"$65,170.00","$112,250.00",0.5805,Residential,Condo,,,,
210208,2021,11/26/2021,Hamden,36 WINDSOR RD,"$155,260.00","$213,144.00",0.7284,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.898338033 41.340872981)
2100330,2021,03/21/2022,Naugatuck,22 GROVE ST,"$129,860.00","$250,000.00",0.5194,Residential,Single Family,,,,POINT (-73.058100964 41.496865983)
2020333,2020,05/25/2021,Wilton,27 VILLAGE WALK,"$192,710.00","$301,000.00",0.6402,Residential,Condo,,,,
210993,2021,06/17/2022,Bristol,"426 EMMETT ST., UNIT #47","$48,020.00","$130,000.00",0.3693,Residential,Condo,,,,POINT (-72.907279009 41.660166998)
201007,2020,03/22/2021,Norwalk,29 GREGORY BLVD,"$261,800.00","$450,000.00",0.5817,Residential,Single Family,,3-47-5-0,,
210482,2021,03/14/2022,Fairfield,247 BENNETT STREET,"$238,280.00","$400,000.00",0.5957,Residential,Single Family,,,,POINT (-73.241674031 41.204373018)
21062,2021,10/29/2021,Farmington,10 OAKLAND AV,"$136,190.00","$280,000.00",0.4863,Residential,Single Family,,,,POINT (-72.788939026 41.743636002)
201192,2020,08/30/2021,Manchester,27A THOMPSON ROAD,"$44,600.00","$65,000.00",0.6861,Residential,Condo,,,,POINT (-72.54514 41.77311)
201027,2020,07/07/2021,Bristol,10 HIGH RIDGE RUN,"$229,110.00","$525,000.00",0.4364,Residential,Single Family,07 - Change in Property,,"ASSESSMENT INCREASED TO $242,900 PER TOWN RECORD",POINT (-72.97462 41.65435)
200015,2020,02/18/2021,Bozrah,123 LAKE RD,"$167,450.00","$292,000.00",0.5734,Residential,Single Family,,,,
21291,2021,05/05/2022,Ridgefield,5 STANDISH DR,"$445,440.00","$900,000.00",0.4949,Residential,Single Family,,,,POINT (-73.469619971 41.286827014)
200053,2020,01/25/2021,Kent,15 BALD HILL RD,"$208,600.00","$450,000.00",0.4635,Residential,Single Family,,,,
200797,2020,08/05/2021,Enfield,31 BROOKSIDE VILLAGE,"$88,190.00","$159,000.00",0.5546,Residential,Condo,,,,
2020217,2020,04/09/2021,Berlin,259 WEST LN,"$218,900.00","$394,900.00",0.5543,Residential,Single Family,,,,POINT (-72.79821 41.62894)
210274,2021,06/22/2022,Berlin,78 FOUR ROD RD,"$162,700.00","$270,000.00",0.6025,Residential,Single Family,,,,POINT (-72.768060962 41.629028982)
200707,2020,09/10/2021,Farmington,75 PINNACLE RD,"$323,480.00","$650,000.00",0.4976,Residential,Single Family,,CASH SALE ? NO MORTGAGE,,POINT (-72.83851 41.70204)
210303,2021,12/21/2021,Hamden,35 TODD ST U307,"$208,600.00","$320,000.00",0.6518,Residential,Condo,,,,POINT (-72.907540022 41.425830988)
201218,2020,07/15/2021,Danbury,55 MILL PLAIN RD 31-1,"$106,300.00","$236,900.00",0.4487,Residential,Condo,,D15004-216,,
200152,2020,12/02/2020,Glastonbury,41 HORIZON LN,"$329,000.00","$550,000.00",0.5981,Residential,Single Family,,,,
210133,2021,12/07/2021,Branford,42 SHORT BEACH RD,"$147,200.00","$250,000.00",0.5888,Residential,Single Family,07 - Change in Property,AS IS/ ESTATE SALE/BOUGHT BY DEVELOPER TO FLIP,,POINT (-72.83014597 41.271563988)
20995,2020,07/14/2021,Hartford,118 ENFIELD ST,"$66,555.00","$150,000.00",0.4437,Residential,Three Family,25 - Other,"MLS LISTING WITHDRAWN 06/21, BELOW MARKET",,POINT (-72.68443 41.78457)
21393,2021,09/12/2022,Bethel,31 MAPLE AVENUE,"$184,870.00","$405,000.00",0.4564,Residential,Two Family,,,,POINT (-73.406018006 41.375159994)
210466,2021,02/15/2022,Hamden,29 WASHINGTON AVE,"$1,179,710.00","$2,100,000.00",0.5617,Apartments,,,,,POINT (-72.898097976 41.384341992)
210219,2021,01/27/2022,Branford,435 THOREAU ST,"$113,400.00","$210,000.00",0.54,Residential,Condo,,,,POINT (-72.844089015 41.272724001)
201029,2020,07/07/2021,Bristol,23 HAVILAND ST,"$130,270.00","$244,900.00",0.5319,Residential,Single Family,16 - Charitable Group,SALE TO CHARITABLE ENTITY,,POINT (-72.9514 41.6756)
210310,2021,07/05/2022,Bloomfield,37 BURR ROAD,"$175,910.00","$365,000.00",0.4819,Residential,Single Family,,,,POINT (-72.757514013 41.820297014)
200218,2020,08/02/2021,Canton,7 VILLAGE SQUARE,"$219,210.00","$365,000.00",0.6005,Residential,Condo,,,,
200749,2020,08/09/2021,Glastonbury,1 SOUTHGATE DR,"$132,800.00","$250,000.00",0.5312,Residential,Condo,,,,POINT (-72.6015 41.67089)
2020419,2020,09/21/2021,Berlin,286 ROBBINS RD,"$157,200.00","$309,900.00",0.507260407,Residential,Single Family,07 - Change in Property,,COMPLETE REMODEL PER MLS - SEE PREVIOUS SALE #2020321,POINT (-72.77295 41.62486)
200089,2020,11/04/2020,Groton,2 BURGEVILLE CT,"$93,030.00","$189,000.00",0.4922,Residential,Single Family,,,,POINT (-72.08285 41.36873)
200320,2020,02/18/2021,Glastonbury,31 CONCORD ST,"$209,500.00","$330,000.00",0.6348,Commercial,,,,,POINT (-72.60451 41.7146)
20010,2020,10/19/2020,Derby,40 MARSHALL LN,"$129,500.00","$290,000.00",0.4465,Residential,Single Family,,,,
210054,2021,10/18/2021,New Britain,22 BRADY AVE,"$90,160.00","$237,100.00",0.3802,Residential,Single Family,,,,POINT (-72.793456033 41.657812019)
200789,2020,08/23/2021,Glastonbury,102 CHATHAM HILL RD,"$476,500.00","$767,500.00",0.6208,Residential,Single Family,,,,
20176,2020,02/03/2021,Darien,14 GIDEON LANE,"$114,170.00","$184,499.00",0.6188,Residential,Condo,,,,
201207,2020,07/21/2021,New Haven,40 TEMPLE CT # 40,"$368,130.00","$850,000.00",0.433,Residential,Condo,,,,
200991,2020,06/30/2021,Bristol,94 CYPRESS ST,"$110,810.00","$225,000.00",0.4924,Residential,Single Family,,,,POINT (-72.94523 41.68918)
200097,2020,10/23/2020,Bristol,30 BATTLE ST,"$181,790.00","$290,000.00",0.6268,Residential,Single Family,01 - Family,FAMILY SALE,,
210161,2021,04/18/2022,Clinton,8 ALDEN DR,"$176,200.00","$356,000.00",0.4949,Residential,Single Family,,,,POINT (-72.516964037 41.29832598)
200048,2020,12/30/2020,Bethany,3 FAIRWOOD RD,"$290,610.00","$445,000.00",0.653,Residential,Single Family,,,,POINT (-73.0074 41.42331)
200060,2020,02/25/2021,Columbia,287 ROUTE 66 SOUTH,"$36,400.00","$72,500.00",0.502,Vacant Land,,,VACANT LAND,,POINT (-72.31851 41.68991)
210397,2021,08/10/2022,New Canaan,89 COMSTOCK HILL RD,"$653,660.00","$1,540,000.00",0.4244,Residential,Single Family,,,,POINT (-73.453723022 41.148740985)
211471,2021,08/31/2022,Danbury,126 SOUTH ST,"$600,400.00","$900,000.00",0.6671,Commercial,,,J15065,,POINT (-73.442462018 41.386825005)
200036,2020,07/15/2021,Chaplin,9 MT LAUREL LA,"$112,900.00","$270,000.00",0.4181,Residential,Single Family,07 - Change in Property,,,
200030,2020,03/09/2021,Bridgewater,67 BOTSFORD HILL ROAD,"$666,600.00","$1,046,945.00",0.6367,Residential,Single Family,17 - Two Towns,AKA -0- Townline Road,,POINT (-73.33569 41.52888)
210198,2021,11/16/2021,Bristol,59 HANNAH ST,"$109,830.00","$174,000.00",0.6312,Residential,Single Family,,,,POINT (-72.906797972 41.701155008)
211701,2021,06/08/2022,Bridgeport,APT LEASEHOLD NO 123,"$7,941,540.00","$125,000.00",63.53232,Commercial,,08 - Part Interest,COOP (SEASIDE VILLAGE HOMES),,POINT (-73.19064 41.18213)
200328,2020,05/12/2021,East Lyme,38 RIVERVIEW RD,"$187,390.00","$300,000.00",0.6246,Residential,Single Family,,,,POINT (-72.21658 41.3403)
210399,2021,12/16/2021,Danbury,104 COALPIT HILL RD A-4,"$111,000.00","$270,000.00",0.4111,Residential,Condo,,K17015-4,,POINT (-73.434450276 41.3796079)
210216,2021,05/02/2022,Avon,109 PINE HILL ROAD,"$258,430.00","$560,000.00",0.4614,Residential,Single Family,,,,POINT (-72.824104965 41.784728994)
200215,2020,01/15/2021,East Haven,176 COSEY BEACH AVE,"$296,460.00","$337,500.00",0.8784,Residential,Single Family,,,,
210147,2021,07/05/2022,Canton,14 OLD CANTON ROAD,"$160,390.00","$375,000.00",0.4277,Residential,Single Family,,,,POINT (-72.909447995 41.825655984)
200375,2020,06/21/2021,East Lyme,81 E PATTAGANSETT RD54,"$84,070.00","$153,000.00",0.5494,Residential,Condo,,,,POINT (-72.2047 41.32815)
200076,2020,11/18/2020,Cheshire,146 WOODLAND DR,"$229,020.00","$125,000.00",1.8321,Residential,Single Family,08 - Part Interest,2 DEEDS SEE V2998 P36,,
210159,2021,02/03/2022,Ledyard,33 VINEGAR HILL RD,"$121,030.00","$195,000.00",0.6206,Residential,Single Family,,,,POINT (-72.048055982 41.435109)
200122,2020,01/08/2021,Killingly,28 NO FRONTAGE RD,$880.00,"$29,750.00",0.0295,Vacant Land,,28 - Use Assessment,,,POINT (-71.84842 41.79026)
200197,2020,12/18/2020,Branford,69 CHURCH ST,"$200,900.00","$320,000.00",0.6278,Residential,Two Family,,,,
200674,2020,08/06/2021,Groton,360 BENHAM RD,"$123,690.00","$260,000.00",0.4757,Residential,Single Family,,,,POINT (-72.0754 41.33855)
200260,2020,04/27/2021,Avon,24 KING RICHARDS COURT,"$469,820.00","$672,050.00",0.699,Residential,Single Family,,,,
210036,2021,05/25/2022,Morris,53 TODD HILL RD,"$4,640.00","$150,000.00",0.0309,Vacant Land,,28 - Use Assessment,,,POINT (-73.233848471 41.654619211)
200121,2020,12/15/2020,Avon,63 NORTHGATE,"$528,490.00","$775,000.00",0.6819,Residential,Single Family,,,,POINT (-72.89675 41.79445)
201114,2020,08/02/2021,Bristol,1 FARRELL AVE,"$106,610.00","$175,000.00",0.6092,Residential,Single Family,,,,POINT (-72.96726 41.67451)
200256,2020,01/20/2021,Groton,28 TAUTOG ST,"$521,430.00","$903,500.00",0.5771,Residential,Single Family,,,,POINT (-72.00969 41.30987)
21134,2021,01/31/2022,Plainfield,25 ROODE RD,"$266,650.00","$950,000.00",0.2806,Industrial,,,,,POINT (-71.949970029 41.635752987)
