Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column
Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily,NONE,NONE,1,NONE,POINT (-73.466318 41.078282)
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.773473 41.527367)
Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 hours daily,NONE,2,NONE,NONE,POINT (-73.075525 41.394315000000006)
Crest Ford,218 Flanders Rd,Niantic,24 hours daily,NONE,1,NONE,NONE,POINT (-72.211435 41.354043)
Parthenon Diner of Old Saybrook - Tesla Destination,809 Boston Post Rd,Old Saybrook,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-72.38345 41.292172)
City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 hours daily,NONE,12,NONE,NONE,POINT (-72.648056 41.561647)
I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,Madison,24 hours daily; Tesla users only,NONE,NONE,10,NONE,POINT (-72.5804966772461 41.2904885216395)
CROWLEY VW,245 New Britain Ave,Plainville,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8411522 41.6771741)
Mystic Diner Restaurant - Tesla Destination,253 Greenmanville Ave,Mystic,24 hours daily; for customer use only,NONE,1,NONE,NONE,POINT (-71.961361 41.37356200000001)
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,24 hours daily; pay lot,2,2,NONE,1 Tesla Conductive,POINT (-72.927405 41.305794)
HAMPTON INN,129 Plains Rd,Milford,24 hours daily,NONE,NONE,4,NONE,POINT (-73.076682 41.22269)
Ferguson Library - Harry Bennett Branch,115 Vine Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.544039 41.099044)
TOD,120 Main St,Durham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.6809263 41.472228)
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.098764 41.568122)
LIBRARY KIOSK,24 Main St,New Milford,24 hours daily,NONE,1,NONE,NONE,POINT (-73.41116 41.5785572)
Town of Newington - Market Square,90 Market Square,Newington,24 hours daily,NONE,4,NONE,NONE,POINT (-72.7214 41.6972)
UNION STATION,50 Union Ave,New Haven,24 hours daily,NONE,2,NONE,NONE,POINT (-72.9263108 41.2974027)
I-91 Tech Park,845 Brook St,Rocky Hill,24 hours daily; priority for Connecticut Green Bank employees,NONE,2,NONE,NONE,POINT (-72.676125 41.641774)
Panera Bread,1129 Silas Deane Hwy,Wethersfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.656507 41.691611)
The Inn at Woodstock Hill,94 Plaine Hill Rd,Woodstock,24 hours daily,1,1,NONE,NONE,POINT (-71.97262186000002 41.94378281)
Arapahoe Parking Lot,105 LaSalle Rd,West Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,POINT (-72.744596 41.759108000000005)
Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.812491 41.274658)
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-72.712466 41.8234945)
Executive Nissan,900 Universal Dr N,North Haven,Dealership business hours,NONE,1,1,NONE,POINT (-72.870997 41.360892)
Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours daily,NONE,NONE,1,NONE,POINT (-72.9 41.294167)
Asnuntuck Community College,170 Elm St,Enfield,24 hours daily,NONE,3,NONE,NONE,POINT (-72.5697849 42.0000268)
Russell Mercier Senior Center,14 Stonecroft Dr,Hebron,24 hours daily,NONE,2,NONE,NONE,POINT (-72.367191 41.65659)
George Harte Nissan,426 Derby Ave,West Haven,Dealership business hours,NONE,2,1,NONE,POINT (-72.968506 41.307602)
Nissan - Norwich,691 W Thames St,Norwich,Dealership business hours; contact 860-892-6000 for more information,NONE,1,NONE,NONE,POINT (-72.097938 41.498591)
Western Connecticut State University,43 Lake Ave Extension,Danbury,24 hours daily,NONE,1,NONE,NONE,POINT (-73.492801 41.394446)
NBCSG,84 Maher Rd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5160406 41.053776)
Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 hours daily; for customer use only,NONE,3,NONE,NONE,POINT (-73.271401 41.203858)
The Westport Library,20 Jesup Road,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.3613829 41.1396711)
INFINITYGREEN,201 Commons Park S,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5405387 41.040838)
City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily,NONE,1,NONE,NONE,POINT (-72.672842 41.762206)
Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,24 hours daily; for customer use only; see valet for access,NONE,3,NONE,NONE,POINT (-73.245943 41.146162)
Wesleyan University,56 Hamlin Ct,MIddletown,24 hours daily,2,NONE,NONE,NONE,POINT (-72.65242 41.557262)
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,NONE,2,NONE,NONE,POINT (-73.264511 41.143125)
Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only,NONE,2,NONE,NONE,POINT (-73.472615 41.331117)
PURDUE PHARMA,201 Tresser Blvd,Stamford,24 hours daily,NONE,4,NONE,NONE,POINT (-73.53779 41.050574)
Waterford Commons,915 Hartford Turnpike,Waterford,24 hours daily,NONE,NONE,6,NONE,POINT (-72.150349 41.380138)
TS,1 American Ln,Greenwich,24 hours daily,NONE,2,NONE,NONE,POINT (-73.7226456 41.0983971)
WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,24 hours daily,NONE,1,NONE,NONE,POINT (-73.475576 41.3777667)
Big Y,22 Spencer Plain Rd,Old Saybrook,24 hours daily,NONE,1,NONE,NONE,POINT (-72.416634 41.28648200000001)
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.679679 41.650999)
Paul Miller Nissan,930 Kings Hwy E,Fairfield,Dealership business hours,NONE,1,1,NONE,POINT (-73.233711 41.167407)
Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily,NONE,NONE,1,NONE,POINT (-73.117486 41.202742)
Cargill Chevrolet,23 Livery St,Putnam,24 hours daily,NONE,3,NONE,NONE,POINT (-71.90810200000001 41.916161)
BIG Y FOODS,224 Salem Turnpike,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.12423 41.505790000000005)
Convention Center - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot,NONE,6,NONE,NONE,POINT (-72.668973 41.762852)
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,NONE,NONE,8,NONE,POINT (-72.759717 41.722672)
Big Y,1021 Main St,Cheshire,24 hours daily,NONE,2,NONE,NONE,POINT (-72.907523 41.476271)
Green Farms Plaza,1460 Post Rd E,Westport,24 hours daily,NONE,NONE,1,NONE,POINT (-73.314364 41.138478)
Morton Government Center,239 John St,Bridgeport,24 hours daily,NONE,1,NONE,NONE,POINT (-73.191423 41.177007)
BIG Y FOODS,140 suit A West Rd,Ellington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.46388 41.888958)
Town of Stafford - Community Center,3 Buckley Hwy,Stafford Springs,24 hours daily,NONE,1,NONE,NONE,POINT (-72.289249 41.956727)
East Norwalk Library,51 Van Zant St,Norwalk,24 hours daily,NONE,4,NONE,NONE,POINT (-73.40565000000001 41.102079)
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,NONE,3,NONE,NONE,POINT (-72.926722 41.297487000000004)
Bell Street Garage,28 Bell St,Stamford,Restricted to garage hours; pay lot,NONE,3,NONE,NONE,POINT (-73.540733 41.052215)
University of Connecticut - School of Law,55 Elizabeth St,Hartford,Lot business hours,NONE,2,NONE,NONE,POINT (-72.70705 41.772484)
Town of Groton - Town Hall Annex,134 Groton Long Point Rd,Groton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.009806 41.341893000000006)
Western Connecticut State University,179 White St,Danbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.44475 41.399432)
Metro Green Residential Parking - Tesla Destination,717 Atlantic St,Stamford,24 hours daily,NONE,3,NONE,NONE,POINT (-73.540098 41.04514)
Connecticut Department of Energy and Environmental Protection,79 Elm St,Hartford,8:30am-4:30pm M-F,NONE,2,NONE,NONE,POINT (-72.678633 41.763294)
Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 hours daily; for customer use only; see front desk for access,NONE,2,NONE,NONE,POINT (-72.025954 41.365919)
REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 hours daily,NONE,2,NONE,NONE,POINT (-72.3518219 41.3890729)
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,NONE,1,NONE,NONE,POINT (-72.442533 41.463278)
Greenwich Northbound Travel Plaza - Tesla Supercharger,3000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,NONE,NONE,4,NONE,POINT (-73.671661 41.041538)
Wilton Public Library,137 Old Ridgefield Rd,Wilton,"10am-8pm M-Th, 10am-6pm F, 10am-5pm Sat, 1pm-5pm Sun (Sunday hours in winter only)",NONE,1,NONE,NONE,POINT (-73.43124 41.192802)
Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 hours daily,NONE,4,NONE,NONE,POINT (-72.091456 41.491597)
Van Wilgen's Garden Center,51 Valley Rd,North Branford,9am-5pm M-F,NONE,1,NONE,NONE,POINT (-72.766102 41.306955)
Town of New Fairfield - Town Hall,4 Brush Hill Rd,New Fairfield,24 hours daily,NONE,1,NONE,NONE,POINT (-73.487032 41.465514)
Hartford Road Henny Penny,969 Hartford Road,Waterford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am,NONE,2,NONE,NONE,POINT (-72.1591426 41.3874871)
Windham High School,355 High St,Windham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.214432 41.723169)
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage business hours,NONE,2,NONE,NONE,POINT (-72.253601 41.805152)
East Shore District Health Department,688 E Main St,Branford,24 hours daily; 2 hour limit,NONE,6,NONE,NONE,POINT (-72.756902 41.305071)
Roger Ludlowe School,689 Unquowa Rd,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.261769 41.148757)
BMW BRIDGEPORT,43 North Ave,Bridgeport,24 hours daily,NONE,2,NONE,NONE,POINT (-73.1897466 41.2020685)
BMW RIDGEFIELD,746 Danbury Rd,Ridgefield,24 hours daily,NONE,NONE,1,NONE,POINT (-73.4722156 41.3305782)
JAGLRNH,521 Washington Ave,North Haven,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8415278 41.4168397)
Bedford Street Garage,17 Forest St,Stamford,Restricted to garage hours; pay lot,NONE,4,NONE,NONE,POINT (-73.537286 41.056092)
Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,6am-12pm daily,NONE,2,NONE,NONE,POINT (-73.038159 41.235232)
CityPlace Garage,185 Asylum St,Hartford,Garage business hours,NONE,2,NONE,NONE,POINT (-72.676489 41.766656)
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,NONE,1,NONE,NONE,POINT (-72.026147 41.365973)
"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-73.35947443366 41.145215689458)
Southington Municipal Center,200 N Main St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.87939 41.606301)
GE WS - Price Chopper #243 Storrs CT 1,1220 Storrs Rd,Mansfield,24 hours daily,NONE,1,NONE,NONE,POINT (-72.241254 41.80199700000001)
RSI EAST,1115 West St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8973437 41.618456)
WHOLE FOODS MKT,5c Sugar Hollow Rd,Danbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4755929 41.3781241)
Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.146142 41.477151000000006)
GENE LANGAN VW,816 New London Turnpike,Glastonbury,24 hours daily,NONE,2,NONE,NONE,POINT (-72.593366 41.704415)
Homestead Inn - Thomas Henkelmann - Tesla Destination,420 Field Point Rd,Greenwich,24 hours daily; for customer use only; see front desk for access,NONE,3,NONE,NONE,POINT (-73.634045 41.015276)
University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.038135 41.555816)
Danbury Parking Authority,21 Delay St,Danbury,Garage business hours,NONE,2,NONE,NONE,POINT (-73.451059 41.396042)
Town of Hebron,15 Gilead St,Hebron,24 hours daily,NONE,2,NONE,NONE,POINT (-72.366742 41.658572)
Aitoro Appliance,401 Westport Ave,Norwalk,Store business hours; see inside for access,NONE,1,NONE,NONE,POINT (-73.390319 41.126373)
Carter Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours,NONE,2,1,NONE,POINT (-72.5009065449829 41.8218766595564)
Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily,NONE,4,NONE,NONE,POINT (-72.670609 41.929342)
Clark Memorial Library,538 Amity Rd,Bethany,24 hours daily,NONE,2,NONE,NONE,POINT (-72.99499 41.427276)
CT RAIL,198 N Cherry St,Wallingford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
TRUMBULL MALL,5065 Main Street,Trumbull,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2246399 41.2286526)
Southington Public Library,255 Main St,Southington,24 hours daily,NONE,2,NONE,NONE,POINT (-72.877465 41.596225)
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,NONE,NONE,NONE,POINT (-73.476189 41.072919)
TEN TEN WASH,1010 Washington Blvd,Stamford,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5431681 41.0535888)
MUNICIP STATION,3 Primrose St,Newtown,24 hours daily,NONE,2,NONE,NONE,POINT (-73.2847962 41.4007757)
Pomfret Town Hall,5 Haven Rd,Pomfret,24 hours daily,NONE,2,NONE,NONE,POINT (-71.9986079999999 41.859648)
Chip's Family Restaurant - Tesla Destination,321 Boston Post Rd,Orange,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-73.004741 41.2645)
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,NONE,2,NONE,NONE,POINT (-72.0741188 41.525611)
